DATE,PRECIP
8/16/17,129.27
8/17/17,129.27
8/18/17,129.27
8/19/17,129.27
8/20/17,129.27
8/21/17,129.27
8/22/17,129.27
8/23/17,129.27
8/24/17,129.27
8/25/17,129.27
8/26/17,129.27
8/27/17,129.27
8/28/17,129.27
8/29/17,129.27
8/30/17,129.27
8/31/17,129.27
9/1/17,129.27
9/2/17,129.27
9/3/17,129.27
9/4/17,129.27
9/5/17,129.28
9/6/17,129.28
9/7/17,129.28
9/8/17,129.28
9/9/17,129.28
9/10/17,129.28
9/11/17,129.29
9/12/17,129.53
9/13/17,129.53
9/14/17,129.53
9/15/17,129.53
9/16/17,129.53
9/17/17,129.53
9/18/17,129.53
9/19/17,129.53
9/20/17,130.27
9/21/17,130.83
9/22/17,130.83
9/23/17,130.83
9/24/17,130.83
9/25/17,130.83
9/26/17,130.83
9/27/17,130.83
9/28/17,130.83
9/29/17,130.83
9/30/17,130.83
10/1/17,130.83
